user_id,item_id,event_type,watch_seconds,timestamp
u207,i3,play,490,2025-01-10T19:24:00
u47,i148,like,2221,2025-01-07T04:03:00
u48,i109,like,1007,2025-02-11T15:20:00
u41,i240,play,844,2025-01-08T10:53:00
u78,i108,complete,2056,2025-01-17T00:11:00
u89,i16,save,82,2025-01-28T05:50:00
u205,i225,pause,187,2025-01-15T19:20:00
u74,i213,like,2003,2025-01-13T03:13:00
u120,i98,complete,561,2025-01-07T17:30:00
u56,i139,play,551,2025-02-19T05:27:00
u85,i221,play,3035,2025-01-25T13:32:00
u71,i216,skip,39,2025-01-14T07:09:00
u204,i130,pause,179,2025-01-22T11:56:00
u57,i51,save,174,2025-02-13T14:41:00
u69,i94,complete,1160,2025-02-08T15:32:00
u202,i124,play,1462,2025-01-07T00:12:00
u89,i89,complete,1920,2025-02-13T07:06:00
u180,i260,save,78,2025-01-24T09:24:00
u4,i215,play,3229,2025-02-08T11:57:00
u206,i115,skip,24,2025-01-06T01:48:00
u20,i105,play,644,2025-02-25T03:27:00
u3,i210,play,855,2025-01-04T10:08:00
u53,i187,complete,2735,2025-02-24T03:13:00
u105,i132,skip,39,2025-02-20T01:30:00
u191,i67,pause,131,2025-01-10T11:38:00
u26,i63,play,3390,2025-02-26T19:14:00
u165,i141,play,1949,2025-01-11T01:58:00
u47,i145,play,1719,2025-02-24T01:57:00
u53,i213,complete,294,2025-02-26T09:33:00
u50,i133,play,1018,2025-01-17T06:44:00
u45,i186,play,3228,2025-02-13T14:00:00
u135,i155,play,1859,2025-02-04T08:05:00
u48,i194,play,2940,2025-01-31T17:14:00
u213,i71,complete,536,2025-01-09T05:15:00
u28,i238,play,1544,2025-02-02T10:47:00
u126,i58,skip,14,2025-01-14T13:50:00
u31,i4,pause,100,2025-02-12T08:40:00
u55,i6,play,2675,2025-01-25T09:57:00
u93,i25,like,3311,2025-01-20T14:04:00
u118,i84,play,3365,2025-01-15T02:30:00
u131,i197,play,2061,2025-01-15T15:50:00
u182,i100,skip,13,2025-01-17T07:27:00
u127,i234,play,1911,2025-01-30T05:02:00
u90,i253,save,89,2025-01-01T20:46:00
u72,i32,play,3046,2025-01-02T04:56:00
u30,i237,play,570,2025-02-17T02:04:00
u38,i24,complete,2859,2025-01-04T05:08:00
u70,i127,pause,236,2025-02-22T04:31:00
u34,i21,like,2992,2025-01-23T03:16:00
u107,i27,save,129,2025-01-18T11:11:00
u174,i4,pause,272,2025-02-18T02:22:00
u20,i88,play,1600,2025-01-02T19:07:00
u51,i25,complete,1662,2025-02-13T09:02:00
u159,i176,play,2629,2025-02-26T19:32:00
u49,i241,skip,37,2025-02-18T05:17:00
u136,i88,like,1036,2025-01-25T02:14:00
u152,i68,play,2623,2025-01-29T01:16:00
u69,i161,save,73,2025-02-03T12:20:00
u12,i94,save,139,2025-02-04T08:16:00
u139,i27,complete,956,2025-01-11T22:53:00
u101,i106,like,1184,2025-01-31T08:57:00
u138,i179,play,2245,2025-02-25T17:47:00
u156,i4,like,3166,2025-02-13T20:01:00
u192,i141,play,2105,2025-02-11T08:22:00
u204,i176,pause,218,2025-02-09T05:36:00
u181,i110,play,2186,2025-01-20T17:06:00
u78,i5,pause,92,2025-02-07T17:57:00
u82,i69,play,1871,2025-01-13T13:16:00
u113,i158,save,135,2025-01-08T18:17:00
u128,i94,play,860,2025-02-17T17:05:00
u47,i63,skip,27,2025-02-12T01:01:00
u186,i179,complete,3023,2025-03-01T14:17:00
u128,i72,like,373,2025-02-13T08:18:00
u103,i28,play,2165,2025-01-08T18:28:00
u148,i73,play,124,2025-02-21T16:35:00
u172,i33,play,1823,2025-01-19T01:28:00
u11,i139,play,2248,2025-02-23T13:30:00
u148,i81,skip,34,2025-01-22T12:27:00
